#        time                area                spin                 c_x                 c_y                 c_z
   28.2500000    1.3897977580e+01    1.3944226780e-01    1.2731685482e+02    1.2553572235e+02    1.2800000000e+02
   28.3750000    1.3899496817e+01    1.3990677223e-01    1.2733682865e+02    1.2553439654e+02    1.2800000001e+02
   28.5000000    1.3900968440e+01    1.4030679628e-01    1.2735683302e+02    1.2553322668e+02    1.2800000001e+02
   28.6250000    1.3902129695e+01    1.4066067098e-01    1.2737686416e+02    1.2553221924e+02    1.2800000001e+02
   28.7500000    1.3903065776e+01    1.4098561941e-01    1.2739691317e+02    1.2553138349e+02    1.2800000001e+02
   28.8750000    1.3904111384e+01    1.4127493723e-01    1.2741698551e+02    1.2553072335e+02    1.2800000001e+02
   29.0000000    1.3905516504e+01    1.4149664608e-01    1.2743709208e+02    1.2553023620e+02    1.2800000001e+02
   29.1250000    1.3907134594e+01    1.4163194673e-01    1.2745724077e+02    1.2552991615e+02    1.2800000001e+02
   29.2500000    1.3908780689e+01    1.4170523136e-01    1.2747742427e+02    1.2552975668e+02    1.2800000000e+02
   29.3750000    1.3910356140e+01    1.4176483952e-01    1.2749763692e+02    1.2552975264e+02    1.2800000000e+02
   29.5000000    1.3911651067e+01    1.4183979980e-01    1.2751787930e+02    1.2552990681e+02    1.2800000000e+02
   29.6250000    1.3912755625e+01    1.4195550701e-01    1.2753813937e+02    1.2553022918e+02    1.2800000000e+02
   29.7500000    1.3914054063e+01    1.4207763657e-01    1.2755841248e+02    1.2553072844e+02    1.2800000000e+02
   29.8750000    1.3915224303e+01    1.4206074665e-01    1.2757870644e+02    1.2553140801e+02    1.2800000000e+02
   30.0000000    1.3916336421e+01    1.4197800287e-01    1.2759899153e+02    1.2553226798e+02    1.2800000000e+02
   30.1250000    1.3917375000e+01    1.4183833384e-01    1.2761928364e+02    1.2553330651e+02    1.2800000000e+02
   30.2500000    1.3918305173e+01    1.4162401086e-01    1.2763958160e+02    1.2553452116e+02    1.2800000000e+02
